AGI,mRNA,description
AT5G09443,AT5G09443.1,ncRNA [Source:NCBI gene (formerly Entrezgene);Acc:6241464]
AT5G09445,AT5G09445.1,""
AT5G09450,AT5G09450.1,Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830804]
AT5G09460,AT5G09460.1,transcription factor bHLH143 [Source:NCBI gene (formerly Entrezgene);Acc:830805]
AT5G09461,AT5G09461.1,
AT5G09462,AT5G09462.1,
AT5G09463,AT5G09463.1,
AT5G09470,AT5G09470.1,dicarboxylate carrier 3 [Source:NCBI gene (formerly Entrezgene);Acc:830806]
AT5G09480,AT5G09480.1,hydroxyproline-rich glycoprotein family protein [Source:NCBI gene (formerly Entrezgene);Acc:830807]
AT5G09490,AT5G09490.1,Ribosomal protein S19 family protein [Source:NCBI gene (formerly Entrezgene);Acc:830808]
AT5G09500,AT5G09500.1,Ribosomal protein S19 family protein [Source:NCBI gene (formerly Entrezgene);Acc:830809]
AT5G09510,AT5G09510.1,Ribosomal protein S19 family protein [Source:NCBI gene (formerly Entrezgene);Acc:830810]
AT5G09513,AT5G09513.1,
AT5G09520,AT5G09520.1,hydroxyproline-rich glycoprotein family protein [Source:NCBI gene (formerly Entrezgene);Acc:830811]
AT5G09530,AT5G09530.1,hydroxyproline-rich glycoprotein family protein [Source:NCBI gene (formerly Entrezgene);Acc:830812]
AT5G09540,AT5G09540.1,Chaperone DnaJ-domain superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830813]
AT5G09550,AT5G09550.1,GDP dissociation inhibitor family protein / Rab GTPase activator family protein [Source:NCBI gene (formerly Entrezgene);Acc:830814]
AT5G09560,AT5G09560.1,RNA-binding KH domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:830815]
AT5G09570,AT5G09570.1,Cox19-like CHCH family protein [Source:NCBI gene (formerly Entrezgene);Acc:830816]
AT5G09580,AT5G09580.1,heat shock protein [Source:NCBI gene (formerly Entrezgene);Acc:830817]
AT5G09585,AT5G09585.1,ncRNA [Source:NCBI gene (formerly Entrezgene);Acc:28721113]
AT5G09590,AT5G09590.1,mitochondrial HSO70 2 [Source:NCBI gene (formerly Entrezgene);Acc:830818]
AT5G09600,AT5G09600.1,succinate dehydrogenase 3-1 [Source:NCBI gene (formerly Entrezgene);Acc:830819]
AT5G09610,AT5G09610.1,pumilio 21 [Source:NCBI gene (formerly Entrezgene);Acc:830820]
AT5G09620,AT5G09620.1,Octicosapeptide/Phox/Bem1p family protein [Source:NCBI gene (formerly Entrezgene);Acc:830821]
AT5G09630,AT5G09630.1,LisH/CRA/RING-U-box domains-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:830822]
AT5G09640,AT5G09640.1,serine carboxypeptidase-like 19 [Source:NCBI gene (formerly Entrezgene);Acc:830823]
AT5G09650,AT5G09650.1,pyrophosphorylase 6 [Source:NCBI gene (formerly Entrezgene);Acc:830824]
AT5G09655,AT5G09655.1,""
AT5G09660,AT5G09660.4,peroxisomal NAD-malate dehydrogenase 2 [Source:NCBI gene (formerly Entrezgene);Acc:830825]
AT5G09670,AT5G09670.2,loricrin-like protein [Source:NCBI gene (formerly Entrezgene);Acc:830826]
AT5G09672,AT5G09672.1,
AT5G09680,AT5G09680.1,reduced lateral root formation [Source:NCBI gene (formerly Entrezgene);Acc:830827]
AT5G09690,AT5G09690.2,magnesium transporter 7 [Source:NCBI gene (formerly Entrezgene);Acc:830828]
AT5G09700,AT5G09700.1,Glycosyl hydrolase family protein [Source:NCBI gene (formerly Entrezgene);Acc:830829]
AT5G09710,AT5G09710.1,
AT5G09711,AT5G09711.1,transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:6241407]
AT5G09720,AT5G09720.1,Magnesium transporter CorA-like family protein [Source:NCBI gene (formerly Entrezgene);Acc:830831]
AT5G09730,AT5G09730.1,beta-xylosidase 3 [Source:NCBI gene (formerly Entrezgene);Acc:830833]
AT5G09740,AT5G09740.1,histone acetyltransferase of the MYST family 2 [Source:NCBI gene (formerly Entrezgene);Acc:830834]
AT5G09750,AT5G09750.1,basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830835]
AT5G09755,AT5G09755.1,""
AT5G09760,AT5G09760.1,Plant invertase/pectin methylesterase inhibitor superfamily [Source:NCBI gene (formerly Entrezgene);Acc:830836]
AT5G09770,AT5G09770.1,Ribosomal protein L17 family protein [Source:NCBI gene (formerly Entrezgene);Acc:830837]
AT5G09780,AT5G09780.1,Transcriptional factor B3 family protein [Source:NCBI gene (formerly Entrezgene);Acc:830838]
AT5G09790,AT5G09790.2,TRITHORAX-RELATED PROTEIN 5 [Source:NCBI gene (formerly Entrezgene);Acc:830839]
AT5G09795,AT5G09795.1,
AT5G09800,AT5G09800.1,ARM repeat superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830840]
AT5G09805,AT5G09805.1,inflorescence deficient in abscission (IDA)-like 3 [Source:NCBI gene (formerly Entrezgene);Acc:28721130]
AT5G09810,AT5G09810.1,actin 7 [Source:NCBI gene (formerly Entrezgene);Acc:830841]
AT5G09820,AT5G09820.2,Plastid-lipid associated protein PAP / fibrillin family protein [Source:NCBI gene (formerly Entrezgene);Acc:830842]
AT5G09830,AT5G09830.1,BolA-like family protein [Source:NCBI gene (formerly Entrezgene);Acc:830843]
AT5G09840,AT5G09840.1,Putative endonuclease or glycosyl hydrolase [Source:NCBI gene (formerly Entrezgene);Acc:830844]
AT5G09850,AT5G09850.1,Transcription elongation factor (TFIIS) family protein [Source:NCBI gene (formerly Entrezgene);Acc:830845]
AT5G09860,AT5G09860.1,nuclear matrix protein-like protein [Source:NCBI gene (formerly Entrezgene);Acc:830846]
AT5G09870,AT5G09870.1,cellulose synthase 5 [Source:NCBI gene (formerly Entrezgene);Acc:830847]
AT5G09876,AT5G09876.1,""
AT5G09880,AT5G09880.1,"Splicing factor, CC1-like protein [Source:NCBI gene (formerly Entrezgene);Acc:830848]"
AT5G09890,AT5G09890.2,Protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:830849]
AT5G09900,AT5G09900.3,"26S proteasome regulatory subunit, putative (RPN5) [Source:NCBI gene (formerly Entrezgene);Acc:830850]"
AT5G09910,AT5G09910.1,Ras-related small GTP-binding family protein [Source:NCBI gene (formerly Entrezgene);Acc:830852]
AT5G09920,AT5G09920.1,"RNA polymerase II, Rpb4, core protein [Source:NCBI gene (formerly Entrezgene);Acc:830853]"
AT5G09930,AT5G09930.1,ABC transporter family protein [Source:NCBI gene (formerly Entrezgene);Acc:830854]
AT5G09940,AT5G09940.1,""
AT5G09950,AT5G09950.1,Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830856]
AT5G09960,AT5G09960.1,sorbin/SH3 domain protein [Source:NCBI gene (formerly Entrezgene);Acc:830857]
AT5G09970,AT5G09970.1,"cytochrome P450, family 78, subfamily A, polypeptide 7 [Source:NCBI gene (formerly Entrezgene);Acc:830858]"
AT5G09975,AT5G09975.1,""
AT5G09976,AT5G09976.1,""
AT5G09978,AT5G09978.1,elicitor peptide 7 [Source:NCBI gene (formerly Entrezgene);Acc:5008207]
AT5G09980,AT5G09980.1,elicitor peptide 4 [Source:NCBI gene (formerly Entrezgene);Acc:830859]
AT5G09990,AT5G09990.1,elicitor peptide 5 [Source:NCBI gene (formerly Entrezgene);Acc:830860]
AT5G09995,AT5G09995.2,transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:830861]
AT5G10000,AT5G10000.1,ferredoxin 4 [Source:NCBI gene (formerly Entrezgene);Acc:830862]
AT5G10010,AT5G10010.1,myosin-H heavy protein [Source:NCBI gene (formerly Entrezgene);Acc:830863]
AT5G10020,AT5G10020.1,Leucine-rich receptor-like protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:830865]
AT5G10030,AT5G10030.1,TGACG motif-binding factor 4 [Source:NCBI gene (formerly Entrezgene);Acc:830866]
AT5G10040,AT5G10040.1,transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:830868]
AT5G10050,AT5G10050.1,NAD(P)-binding Rossmann-fold superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830869]
AT5G10060,AT5G10060.1,ENTH/VHS family protein [Source:NCBI gene (formerly Entrezgene);Acc:830870]
AT5G10070,AT5G10070.2,RNase L inhibitor protein-like protein [Source:NCBI gene (formerly Entrezgene);Acc:830871]
AT5G10080,AT5G10080.1,Eukaryotic aspartyl protease family protein [Source:NCBI gene (formerly Entrezgene);Acc:830872]
AT5G10090,AT5G10090.1,Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830873]
AT5G10100,AT5G10100.1,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830874]
AT5G10110,AT5G10110.1,DNA-directed RNA polymerase subunit beta [Source:NCBI gene (formerly Entrezgene);Acc:830875]
AT5G10120,AT5G10120.1,Ethylene insensitive 3 family protein [Source:NCBI gene (formerly Entrezgene);Acc:830876]
AT5G10130,AT5G10130.1,Pollen Ole e 1 allergen and extensin family protein [Source:NCBI gene (formerly Entrezgene);Acc:830877]
AT5G10140,AT5G10140.1,K-box region and MADS-box transcription factor family protein [Source:NCBI gene (formerly Entrezgene);Acc:830878]
AT5G10150,AT5G10150.1,UPSTREAM OF FLC protein (DUF966) [Source:NCBI gene (formerly Entrezgene);Acc:830879]
AT5G10160,AT5G10160.1,Thioesterase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830880]
AT5G10170,AT5G10170.1,myo-inositol-1-phosphate synthase 3 [Source:NCBI gene (formerly Entrezgene);Acc:830881]
AT5G10180,AT5G10180.1,slufate transporter 2;1 [Source:NCBI gene (formerly Entrezgene);Acc:830882]
AT5G10190,AT5G10190.1,Major facilitator superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830883]
AT5G10200,AT5G10200.1,ARM-repeat/Tetratricopeptide repeat (TPR)-like protein [Source:NCBI gene (formerly Entrezgene);Acc:830884]
AT5G10210,AT5G10210.1,nitric oxide synthase-interacting protein [Source:NCBI gene (formerly Entrezgene);Acc:830885]
AT5G10220,AT5G10220.1,annexin 6 [Source:NCBI gene (formerly Entrezgene);Acc:830886]
AT5G10230,AT5G10230.1,annexin 7 [Source:NCBI gene (formerly Entrezgene);Acc:830887]
AT5G10235,AT5G10235.1,""
AT5G10240,AT5G10240.1,asparagine synthetase 3 [Source:NCBI gene (formerly Entrezgene);Acc:830888]
AT5G10250,AT5G10250.1,Phototropic-responsive NPH3 family protein [Source:NCBI gene (formerly Entrezgene);Acc:830889]
AT5G10260,AT5G10260.1,RAB GTPase homolog H1E [Source:NCBI gene (formerly Entrezgene);Acc:830890]
AT5G10270,AT5G10270.1,cyclin-dependent kinase C;1 [Source:NCBI gene (formerly Entrezgene);Acc:830891]
AT5G10278,AT5G10278.1,ncRNA [Source:NCBI gene (formerly Entrezgene);Acc:5008208]
AT5G10280,AT5G10280.1,myb domain protein 92 [Source:NCBI gene (formerly Entrezgene);Acc:830892]
AT5G10290,AT5G10290.1,leucine-rich repeat transmembrane protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:830893]
AT5G10300,AT5G10300.1,methyl esterase 5 [Source:NCBI gene (formerly Entrezgene);Acc:830894]
AT5G10310,AT5G10310.1,EPIDERMAL PATTERNING FACTOR-like protein [Source:NCBI gene (formerly Entrezgene);Acc:830895]
AT5G10320,AT5G10320.1,ATP synthase subunit B [Source:NCBI gene (formerly Entrezgene);Acc:830896]
AT5G10330,AT5G10330.1,histidinol phosphate aminotransferase 1 [Source:NCBI gene (formerly Entrezgene);Acc:830897]
AT5G10336,AT5G10336.1,""
AT5G10340,AT5G10340.1,F-box family protein [Source:NCBI gene (formerly Entrezgene);Acc:830898]
AT5G10350,AT5G10350.1,RNA-binding (RRM/RBD/RNP motifs) family protein [Source:NCBI gene (formerly Entrezgene);Acc:830899]
AT5G10360,AT5G10360.1,Ribosomal protein S6e [Source:NCBI gene (formerly Entrezgene);Acc:830900]
AT5G10370,AT5G10370.1,helicase domain-containing protein / IBR domain-containing protein / zinc finger protein-like protein [Source:NCBI gene (formerly Entrezgene);Acc:830901]
AT5G10380,AT5G10380.1,RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830902]
AT5G10390,AT5G10390.1,Histone superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830903]
AT5G10400,AT5G10400.1,Histone superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830904]
AT5G10410,AT5G10410.1,ENTH/ANTH/VHS superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830905]
AT5G10420,AT5G10420.1,MATE efflux family protein [Source:NCBI gene (formerly Entrezgene);Acc:830906]
AT5G10430,AT5G10430.1,arabinogalactan protein 4 [Source:NCBI gene (formerly Entrezgene);Acc:830907]
AT5G10440,AT5G10440.1,cyclin d4;2 [Source:NCBI gene (formerly Entrezgene);Acc:830908]
AT5G10450,AT5G10450.4,G-box regulating factor 6 [Source:NCBI gene (formerly Entrezgene);Acc:830909]
AT5G10455,AT5G10455.1,""
AT5G10460,AT5G10460.1,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830910]
AT5G10470,AT5G10470.2,kinesin like protein for actin based chloroplast movement 1 [Source:NCBI gene (formerly Entrezgene);Acc:830911]
AT5G10480,AT5G10480.3,"Protein-tyrosine phosphatase-like, PTPLA [Source:NCBI gene (formerly Entrezgene);Acc:830912]"
AT5G10490,AT5G10490.1,MSCS-like 2 [Source:NCBI gene (formerly Entrezgene);Acc:830913]
AT5G10500,AT5G10500.1,Kinase interacting (KIP1-like) family protein [Source:NCBI gene (formerly Entrezgene);Acc:830914]
AT5G10504,AT5G10504.1,
AT5G10510,AT5G10510.3,AINTEGUMENTA-like 6 [Source:NCBI gene (formerly Entrezgene);Acc:830915]
AT5G10520,AT5G10520.1,ROP binding protein kinases 1 [Source:NCBI gene (formerly Entrezgene);Acc:830917]
AT5G10525,AT5G10525.1,""
AT5G10530,AT5G10530.1,Concanavalin A-like lectin protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:830918]
AT5G10540,AT5G10540.1,Zincin-like metalloproteases family protein [Source:NCBI gene (formerly Entrezgene);Acc:830919]
AT5G10550,AT5G10550.1,global transcription factor group E2 [Source:NCBI gene (formerly Entrezgene);Acc:830920]
AT5G10560,AT5G10560.1,Glycosyl hydrolase family protein [Source:NCBI gene (formerly Entrezgene);Acc:830921]
AT5G10570,AT5G10570.1,basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830922]
AT5G10572,AT5G10572.1,ncRNA [Source:NCBI gene (formerly Entrezgene);Acc:3770695]
AT5G10580,AT5G10580.1,"plant/protein (Protein of unknown function, DUF599) [Source:NCBI gene (formerly Entrezgene);Acc:830923]"
AT5G10590,AT5G10590.1,""
AT5G10600,AT5G10600.1,"cytochrome P450, family 81, subfamily K, polypeptide 2 [Source:NCBI gene (formerly Entrezgene);Acc:830925]"
AT5G10605,AT5G10605.1,methyltransferase [Source:NCBI gene (formerly Entrezgene);Acc:10723039]
AT5G10610,AT5G10610.1,"cytochrome P450, family 81, subfamily K, polypeptide 1 [Source:NCBI gene (formerly Entrezgene);Acc:830926]"
AT5G10620,AT5G10620.1,methyltransferase [Source:NCBI gene (formerly Entrezgene);Acc:830927]
AT5G10625,AT5G10625.1,flowering-promoting factor-like protein [Source:NCBI gene (formerly Entrezgene);Acc:2745983]
AT5G10630,AT5G10630.2,Translation elongation factor EF1A/initiation factor IF2gamma family protein [Source:NCBI gene (formerly Entrezgene);Acc:830928]
AT5G10650,AT5G10650.1,RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830929]
AT5G10660,AT5G10660.2,calmodulin-binding protein-like protein [Source:NCBI gene (formerly Entrezgene);Acc:830930]
AT5G10670,AT5G10670.1,
AT5G10680,AT5G10680.1,calmodulin-binding protein-like protein [Source:NCBI gene (formerly Entrezgene);Acc:830932]
AT5G10690,AT5G10690.1,pentatricopeptide (PPR) repeat-containing protein / CBS domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:830933]
AT5G10695,AT5G10695.1,methionyl-tRNA synthetase [Source:NCBI gene (formerly Entrezgene);Acc:830934]
AT5G10700,AT5G10700.1,Peptidyl-tRNA hydrolase II (PTH2) family protein [Source:NCBI gene (formerly Entrezgene);Acc:830935]
AT5G10710,AT5G10710.2,centromere protein O [Source:NCBI gene (formerly Entrezgene);Acc:830936]
AT5G10720,AT5G10720.1,histidine kinase 5 [Source:NCBI gene (formerly Entrezgene);Acc:830938]
AT5G10730,AT5G10730.1,NAD(P)-binding Rossmann-fold superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830939]
AT5G10740,AT5G10740.1,Protein phosphatase 2C family protein [Source:NCBI gene (formerly Entrezgene);Acc:830941]
AT5G10745,AT5G10745.1,transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:2745984]
AT5G10750,AT5G10750.1,enhanced disease resistance-like protein (DUF1336) [Source:NCBI gene (formerly Entrezgene);Acc:830942]
AT5G10760,AT5G10760.1,Eukaryotic aspartyl protease family protein [Source:NCBI gene (formerly Entrezgene);Acc:830943]
AT5G10770,AT5G10770.1,Eukaryotic aspartyl protease family protein [Source:NCBI gene (formerly Entrezgene);Acc:830944]
AT5G10780,AT5G10780.2,ER membrane protein complex subunit-like protein [Source:NCBI gene (formerly Entrezgene);Acc:830945]
AT5G10790,AT5G10790.1,ubiquitin-specific protease 22 [Source:NCBI gene (formerly Entrezgene);Acc:830946]
AT5G10800,AT5G10800.1,RNA recognition motif (RRM)-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:830947]
AT5G10810,AT5G10810.1,enhancer of rudimentary protein [Source:NCBI gene (formerly Entrezgene);Acc:830948]
AT5G10820,AT5G10820.1,Major facilitator superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830949]
AT5G10830,AT5G10830.1,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830950]
AT5G10840,AT5G10840.1,Endomembrane protein 70 protein family [Source:NCBI gene (formerly Entrezgene);Acc:830951]
AT5G10850,AT5G10850.1,
AT5G10860,AT5G10860.1,Cystathionine beta-synthase (CBS) family protein [Source:NCBI gene (formerly Entrezgene);Acc:830953]
AT5G10870,AT5G10870.1,chorismate mutase 2 [Source:NCBI gene (formerly Entrezgene);Acc:830954]
AT5G10880,AT5G10880.1,tRNA synthetase-related / tRNA ligase-like protein [Source:NCBI gene (formerly Entrezgene);Acc:830955]
AT5G10890,AT5G10890.1,myosin heavy chain-like protein [Source:NCBI gene (formerly Entrezgene);Acc:830956]
AT5G10900,AT5G10900.1,Calcineurin-like metallo-phosphoesterase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830957]
AT5G10910,AT5G10910.1,mraW methylase family protein [Source:NCBI gene (formerly Entrezgene);Acc:830958]
AT5G10920,AT5G10920.1,L-Aspartase-like family protein [Source:NCBI gene (formerly Entrezgene);Acc:830959]
AT5G10930,AT5G10930.1,CBL-interacting protein kinase 5 [Source:NCBI gene (formerly Entrezgene);Acc:830960]
AT5G10940,AT5G10940.1,transducin family protein / WD-40 repeat family protein [Source:NCBI gene (formerly Entrezgene);Acc:830961]
AT5G10945,AT5G10945.1,ath-MIR156d [Source:miRBase;Acc:MI0000181]
AT5G10946,AT5G10946.1,""
AT5G10950,AT5G10950.1,Tudor/PWWP/MBT superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830962]
AT5G10960,AT5G10960.1,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830963]"
AT5G10970,AT5G10970.1,C2H2 and C2HC zinc fingers superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830964]
AT5G10980,AT5G10980.1,Histone superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830965]
AT5G10990,AT5G10990.1,SAUR-like auxin-responsive protein family [Source:NCBI gene (formerly Entrezgene);Acc:830966]
AT5G11000,AT5G11000.1,""
AT5G11010,AT5G11010.2,Pre-mRNA cleavage complex II protein family [Source:NCBI gene (formerly Entrezgene);Acc:830968]
AT5G11020,AT5G11020.1,Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830969]
AT5G11027,AT5G11027.1,
AT5G11030,AT5G11030.2,aberrant root formation protein [Source:NCBI gene (formerly Entrezgene);Acc:830970]
AT5G11040,AT5G11040.1,TRS120 [Source:NCBI gene (formerly Entrezgene);Acc:830971]
AT5G11050,AT5G11050.1,myb domain protein 64 [Source:NCBI gene (formerly Entrezgene);Acc:830972]
AT5G11060,AT5G11060.1,homeobox protein knotted-1-like 4 [Source:NCBI gene (formerly Entrezgene);Acc:830973]
AT5G11070,AT5G11070.1,""
AT5G11080,AT5G11080.2,Ubiquitin-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830975]
AT5G11090,AT5G11090.1,serine-rich protein-like protein [Source:NCBI gene (formerly Entrezgene);Acc:830977]
AT5G11100,AT5G11100.1,""
AT5G11110,AT5G11110.1,sucrose phosphate synthase 2F [Source:NCBI gene (formerly Entrezgene);Acc:830979]
